"UF","CIDADE","COD_IBGE","TURNO","CANDIDATURA","PARTIDO","DATA","PERCENTUAL","INSTITUTO","REGISTRO_TSE","AMOSTRA","MARGEM"
"RJ","Rio de Janeiro",3304557,2,"Crivella","REP",2020-11-17,21,"RealTime","RJ-00673/2020",1050,2.4636817976354
"RJ","Rio de Janeiro",3304557,2,"Eduardo Paes","DEM",2020-11-17,79,"RealTime","RJ-00673/2020",1050,2.4636817976354
"RJ","Rio de Janeiro",3304557,2,"Crivella","REP",2020-11-18,31,"Ibope","RJ-00797/2020",1001,2.86513061248059
"RJ","Rio de Janeiro",3304557,2,"Eduardo Paes","DEM",2020-11-18,69,"Ibope","RJ-00797/2020",1001,2.86513061248059
"RJ","Rio de Janeiro",3304557,2,"Crivella","REP",2020-11-18,29,"Datafolha","RJ-00503/2020",1064,2.72654977658772
"RJ","Rio de Janeiro",3304557,2,"Eduardo Paes","DEM",2020-11-18,71,"Datafolha","RJ-00503/2020",1064,2.72654977658772
"RJ","Rio de Janeiro",3304557,2,"Crivella","REP",2020-11-25,35,"Ibope","RJ-02253/2020",1001,2.95481117686208
"RJ","Rio de Janeiro",3304557,2,"Eduardo Paes","DEM",2020-11-25,65,"Ibope","RJ-02253/2020",1001,2.95481117686208
"RJ","Rio de Janeiro",3304557,2,"Crivella","REP",2020-11-25,30,"Datafolha","RJ-03404/2020",1148,2.65090872592225
"RJ","Rio de Janeiro",3304557,2,"Eduardo Paes","DEM",2020-11-25,70,"Datafolha","RJ-03404/2020",1148,2.65090872592225
"RJ","Rio de Janeiro",3304557,2,"Crivella","REP",2020-11-26,35,"RealTime","RJ-03172/2020",1000,2.95628821328368
"RJ","Rio de Janeiro",3304557,2,"Eduardo Paes","DEM",2020-11-26,65,"RealTime","RJ-03172/2020",1000,2.95628821328368
"RJ","Rio de Janeiro",3304557,2,"Crivella","REP",2020-11-27,32,"RealTime","RJ-09460/2020",1200,2.63933729055862
"RJ","Rio de Janeiro",3304557,2,"Eduardo Paes","DEM",2020-11-27,68,"RealTime","RJ-09460/2020",1200,2.63933729055862
"RJ","Rio de Janeiro",3304557,2,"Crivella","REP",2020-11-28,32,"Datafolha","RJ-07737/2020",1786,2.16343967343781
"RJ","Rio de Janeiro",3304557,2,"Eduardo Paes","DEM",2020-11-28,68,"Datafolha","RJ-07737/2020",1786,2.16343967343781
"RJ","Rio de Janeiro",3304557,2,"Crivella","REP",2020-11-28,32,"Ibope","RJ-05249/2020",1204,2.63494936185402
"RJ","Rio de Janeiro",3304557,2,"Eduardo Paes","DEM",2020-11-28,68,"Ibope","RJ-05249/2020",1204,2.63494936185402
"RS","Porto Alegre",4314902,2,"Manuela","PCdoB",2020-11-19,38,"Paraná Pesquisas","RS-06700/2020",800,3.36355645113918
"RS","Porto Alegre",4314902,2,"Sebastião Melo","MDB",2020-11-19,62,"Paraná Pesquisas","RS-06700/2020",800,3.36355645113918
"RS","Porto Alegre",4314902,2,"Manuela","PCdoB",2020-11-24,46,"Ibope","RS-031118/2020",805,3.44297545736243
"RS","Porto Alegre",4314902,2,"Sebastião Melo","MDB",2020-11-24,54,"Ibope","RS-031118/2020",805,3.44297545736243
"RS","Porto Alegre",4314902,2,"Manuela","PCdoB",2020-11-26,47,"RealTime","RS-03195/2020",850,3.3553163434624
"RS","Porto Alegre",4314902,2,"Sebastião Melo","MDB",2020-11-26,53,"RealTime","RS-03195/2020",850,3.3553163434624
"RS","Porto Alegre",4314902,2,"Manuela","PCdoB",2020-11-27,48,"RealTime","RS-06922/2020",1050,3.02192521416398
"RS","Porto Alegre",4314902,2,"Sebastião Melo","MDB",2020-11-27,52,"RealTime","RS-06922/2020",1050,3.02192521416398
"RS","Porto Alegre",4314902,2,"Manuela","PCdoB",2020-11-28,51,"Ibope","RS-05561/2020",805,3.45335526824213
"RS","Porto Alegre",4314902,2,"Sebastião Melo","MDB",2020-11-28,49,"Ibope","RS-05561/2020",805,3.45335526824213
"RO","Porto Velho",1100205,2,"Hildon Chaves","PSDB",2020-11-21,60,"Ibope","RO-06398/2020",602,3.91348295476156
"RO","Porto Velho",1100205,2,"Cristiane Lopes","PP",2020-11-21,40,"Ibope","RO-06398/2020",602,3.91348295476156
"RO","Porto Velho",1100205,2,"Hildon Chaves","PSDB",2020-11-27,60,"Ibope","RO-09943/2020",602,3.91348295476156
"RO","Porto Velho",1100205,2,"Cristiane Lopes","PP",2020-11-27,40,"Ibope","RO-09943/2020",602,3.91348295476156
"RR","Boa Vista",1400100,2,"Arthur Henrique","MDB",2020-11-20,78,"Ibope","RR-07896/2020",602,3.30915010517877
"RR","Boa Vista",1400100,2,"Ottaci","SD",2020-11-20,22,"Ibope","RR-07896/2020",602,3.30915010517877
"RR","Boa Vista",1400100,2,"Arthur Henrique","MDB",2020-11-26,79,"Ibope","RR-07926/2020",602,3.25372630743905
"RR","Boa Vista",1400100,2,"Ottaci","SD",2020-11-26,21,"Ibope","RR-07926/2020",602,3.25372630743905
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-17,60,"XP/Ipespe","SP-06628/2020",800,3.394819582835
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-17,40,"XP/Ipespe","SP-06628/2020",800,3.394819582835
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-17,64,"Exame/Ideia","SP-07424/2020",800,3.32623029870152
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-17,36,"Exame/Ideia","SP-07424/2020",800,3.32623029870152
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-17,62,"Paraná Pesquisas","SP-09859/2020",800,3.36355645113918
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-17,39,"Paraná Pesquisas","SP-09859/2020",800,3.37993461475218
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-17,60,"RealTime","SP-06584/2020",1050,2.96324146839234
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-17,40,"RealTime","SP-06584/2020",1050,2.96324146839234
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-18,58,"Ibope","SP-05645/2020",1001,3.05757891332159
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-18,42,"Ibope","SP-05645/2020",1001,3.05757891332159
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-18,58,"Datafolha","SP-03437/2020",1254,2.73178140872797
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-18,42,"Datafolha","SP-03437/2020",1254,2.73178140872797
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-23,55,"Datafolha","SP-09865/2020",1260,2.7469983618488
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-23,45,"Datafolha","SP-09865/2020",1260,2.7469983618488
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-25,54,"XP/Ipespe","SP-09138/2020",800,3.4537179965944
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-25,46,"XP/Ipespe","SP-09138/2020",800,3.4537179965944
"RJ","Rio de Janeiro",3304557,2,"Bruno Covas","PSDB",2020-11-25,57,"Ibope","RJ-02253/2020",1001,3.06697819437231
"RJ","Rio de Janeiro",3304557,2,"Guilherme Boulos","PSOL",2020-11-25,43,"Ibope","RJ-02253/2020",1001,3.06697819437231
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-25,54,"Datafolha","SP-09865/2020",1512,2.51221018228969
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-25,46,"Datafolha","SP-09865/2020",1512,2.51221018228969
"SP","São Paulo",3550308,2,"Bruno Covas","PSDB",2020-11-26,55,"Paraná Pesquisas","SP-05951/2020",1000,3.08349801362025
"SP","São Paulo",3550308,2,"Guilherme Boulos","PSOL",2020-11-26,45,"Paraná Pesquisas","SP-05951/2020",1000,3.08349801362025
